com,population
80001,23358
2A004,71508
61001,26592
68224,110612
2B033,46434
56009,1023
33063,257804
33281,70815
18033,66589
29019,142748
29075,14857
14118,107523
14137,2630
83153,5931
63113,146632
21231,160204
21355,8739
05046,6566
46127,4222
43124,942
43157,19944
59343,8332
59350,234842
87085,134460
69123,522679
13054,33162
12145,22844
40192,30994
26198,40227
34172,288600
54395,105743
54405,522
44020,19609
44109,314503
06088,342979
94054,24002
66136,121681
22168,7335
86027,1810
86194,90703
17323,1342
50041,11998
51449,1058
51454,185576
35238,220925
76116,3855
76540,111760
09261,6781
67124,2403
67482,283745
65344,2417
65440,42590
31069,25009
31555,484809
37261,138616
10030,1469
10387,62828